Name,RA_2000,Dec_2000,V,SpType,D(pc),P(%),Ref
PW And,00 18 20.9,+30 57 22,9.14,K2V(e),27,100,Z
HD 4277,00 45 50.9,+54 58 40,7.80*,F8V,49H,95,Z
HD 6569,01 06 26.2,-14 17 47,9.50,K1V,50H,100,"Z,S"
BD-12 243,01 20 32.2,-11 28 03,8.43,G9V,35H,100,"Z,S"
CD-46 644,02 10 55.4,-46 03 59,11.24,K3IVe,70,90,S
HD 13482,02 12 15.4,+23 57 30,7.94,K1V,32H,100,Z
HIP 12635,02 42 21.0,+38 37 21,10.28,K2V,49,100,Z
HD 16760,02 42 21.3,+38 37 07,8.77,G2V,48,100,Z
HD 17332B,02 47 27.2,+19 22 21,8.11*,G6V,33H,100,Z
HD 17332A,02 47 27.4,+19 22 19,7.32*,G1V,33H,100,Z
IS Eri,03 09 42.3,-09 34 47,8.48,G0V,40H,100,L
HIP 14807,03 11 12.3,+22 25 23,10.47,K6,45,100,Z
HIP 14809,03 11 13.8,+22 24 57,8.51,G5V,50H,100,Z
V577 Per,03 33 13.5,+46 15 27,8.26,G5V,34H,100,Z
HD 21845B,03 33 14.0,+46 15 19,11.20,M0Ve,34H,100,Z
HIP 17695,03 47 23.3,-01 58 20,11.51,M3Ve,16,100,"Z,S,z"
HD 24681,03 55 20.4,-01 43 45,9.05,G8V,53,100,"S,z"
HD 25457,04 02 36.7,-00 16 08,5.38,F6V,19H,100,Z
HD 25953,04 06 41.5,+01 41 02,7.83,F5,55H,100,Z
TYC5899-0026,04 52 24.4,-16 49 22,11.61,M3Ve,16,100,S
CD-56 1032B,04 53 30.5,-55 51 32,12.10,M3Ve,11,100,S
CD-56 1032A,04 53 31.2,-55 51 37,11.16,M3Ve,11,100,S
HD 31652,04 57 22.3,-09 08 00,9.98,G8V,88,95,S
CD-40 1701,05 02 30.4,-39 59 13,10.57,K4V,42,100,S
HD 32981,05 06 27.7,-15 49 30,9.13,F9V,81,100,S
HD 293857,05 11 09.7,-04 10 54,9.26,G8V,78,100,S
HD 33999,05 12 35.8,-34 28 48,9.37,F8V,106,100,s
HD 35650,05 24 30.2,-38 58 11,9.08,K6V,18H,100,"Z,S"
AB DorB,05 28 44.4,-65 26 47,13.2*,M4Ve,15H,100,"Z,S"
AB Dor,05 28 44.8,-65 26 56,6.88,K0Ve,15H,100,"Z,S"
UX Col,05 28 56.5,-33 28 16,10.46,K3Ve,57,100,S
CD-34 2331,05 35 04.1,-34 17 52,11.84,K3Ve,78,100,S
HIP 26369,05 36 55.1,-47 57 48,9.81,K6Ve,24H,100,"Z,S"
UY Pic,05 36 56.9,-47 57 53,7.84,K0V,24H,100,"Z,S"
WX Col,05 37 12.9,-42 42 56,9.55*,G7V,75H,100,S
HIP 26401B,05 37 13.2,-42 42 57,10.65*,K1V,75H,100,S
Par 2752,05 38 56.6,-06 24 41,10.91,G8V,116,100,S
CP-19 878,05 39 23.2,-19 33 29,10.71,K1V,71,100,S
TYC7605-1429,05 41 14.4,-41 17 59,12.29,K4IVe,128,100,S
CD-26 2425,05 44 13.4,-26 06 15,10.88,K2Ve,70,100,S
TZ Col,05 52 16.0,-28 39 25,9.04,G3V,88H,90,S
TY Col,05 57 50.8,-38 04 03,9.56,G6V(e),68,100,S
BD-13 1328,06 02 21.9,-13 55 33,10.58,K4V(e),39,95,S
CD-34 2676,06 08 33.9,-34 02 55,10.17,G9Ve,72,100,S
CD-35 2722,06 09 19.2,-35 49 31,10.98,M1Ve,24,100,S
HD 45270,06 22 30.9,-60 13 07,6.53,G1V,23H,100,"Z,S"
GSC8894-0426,06 25 56.1,-60 03 27,12.7,M3Ve,23H,100,Z
AK Pic,06 38 00.4,-61 32 00,6.27*,G2V,22H,100,"Z,S"
CD-61 1439,06 39 50.0,-61 28 42,9.71,K7V(e),22H,100,"Z,S"
TYC7627-2190,06 41 18.5,-38 20 36,11.08,K2Ve,78,100,S
GSC8544-1037,06 47 53.4,-57 13 32,11.8,K4V,143,95,s
CD-57 1654,07 10 50.6,-57 36 46,10.44,G2V,103,100,S
BD+20 1790,07 23 43.6,+20 24 59,9.93,K5Ve,26,100,"L,S"
HD 59169,07 26 17.7,-49 40 51,10.22,G7V,118H,90,S
V372 Pup,07 28 51.5,-30 14 47,10.13*,M1Ve,13,95,"Z,S"
CD-84 80,07 30 59.5,-84 19 28,9.96,G9V,71,100,S
HD 64982,07 45 35.5,-79 40 09,8.96*,G0V,83H,95,S
BD-07 2388,08 13 51.0,-07 38 25,9.38,K1V(e),93,100,S
CD-45 5772,10 07 25.2,-46 21 50,10.89,K4V,70,95,S
BD+01 2447,10 28 55.6,+00 50 28,9.65,M2V,6.6,100,"L,z"
HD 99827,11 25 17.7,-84 57 16,7.70*,F5,83H,95,c
PX Vir,13 03 49.7,-05 09 43,7.69,K1V,22H,100,"Z,S"
HD 139751,15 40 28.4,-18 41 46,10.44*,K5Ve,37,100,"Z,S"
HIP 81084,16 33 41.6,-09 33 12,11.30,M0e,30,100,"Z,S"
HD 152555,16 54 08.1,-04 20 25,7.82,G0,48H,100,Z
HD 317617,17 28 55.6,-32 43 57,10.45,K3V,56,85,S
HD 159911,17 37 46.5,-13 14 47,10.10,K4Ve,45,100,S
HD 160934,17 38 39.6,+61 14 16,10.45*,K7Ve,33,100,Z
HD 176367,19 01 06.0,-28 42 50,8.48,G1V,63H,95,s
HD 178085,19 10 57.9,-60 16 20,8.34,G1V,57H,100,S
TYC0486-4943,19 33 03.8,+03 45 40,11.29,K3V,71,100,S
HD 189285,19 59 24.1,-04 32 06,9.43,G7V,95,90,S
BD-03 4778,20 04 49.4,-02 39 20,10.02,K1V,70,100,S
HD 199058,20 54 21.1,+09 02 24,8.61,G5V,75,100,S
TYC1090-0543,20 54 28.0,+09 06 07,11.29,K4Ve,75,100,S
HD 201919,21 13 05.3,-17 29 13,10.64,K6Ve,39,100,S
LO Peg,21 31 01.7,+23 20 07,9.19,K5Ve,25H,100,Z
HD 207278,21 48 48.5,-39 29 10,9.66,G7V,84H,100,S
HIP 107948,21 52 10.4,+05 37 36,12.11,M2Ve,30,100,"S,z"
HIP 110526A,22 23 29.1,+32 27 34,11.45*,M3e,15,100,Z
HIP 110526B,22 23 29.1,+32 27 32,11.55*,M3e,15,100,Z
HD 217343,23 00 19.3,-26 09 14,7.49,G5V,32H,100,"Z,S"
HD 217379,23 00 28.0,-26 18 43,10.45*,K7V,33,100,"Z,S"
HIP 114066,23 06 04.8,+63 55 34,10.87,M1e,25H,100,Z
