Name,RA_2000,Dec_2000,V,SpType,D(pc),P(%),Ref
BW Phe,00 56 55.5,-51 52 32,9.62*,K3Ve,56,90,S
CD-49 1902,05 49 44.8,-49 18 26,11.37,G7V,133,90,S
CD-56 1438,06 11 53.0,-56 19 05,11.11,K0V,101,95,S
CD-28 3434,06 49 45.4,-28 59 17,10.38,G7V,109,90,S
CD-42 2906,07 01 53.4,-42 27 56,10.61,K1V,96,100,S
CD-48 2972,07 28 22.0,-49 08 38,9.84,G8V,85,100,S
CD-48 3199,07 47 26.0,-49 02 51,10.61,G7V,95,100,"S,m"
CD-43 3604,07 48 49.6,-43 27 06,10.88,K4Ve,79,100,S
TYC8561-0970,07 53 55.5,-57 10 07,11.50,K0V,133,100,"S,m"
HD 67945,08 09 38.6,-20 13 50,8.08,F0V,64,95,s
CD-58 2194,08 39 11.6,-58 34 28,10.11,G5V,106,100,"S,m"
CD-57 2315,08 50 08.1,-57 45 59,10.21,K3Ve,94,100,"S,m"
TYC8594-0058,09 02 03.9,-58 08 50,11.30,G8V,141,100,"S,m"
CD-62 1197,09 13 30.3,-62 59 09,10.46,K0V(e),111,100,"S,m"
TYC7695-0335,09 28 54.1,-41 01 19,11.70,K3V,143,100,S
HD 84075,09 36 17.8,-78 20 42,8.59,G1,63H,100,g
%BD-20 2977,09 39 51.5,-21 34 17,10.22,G9V,92,85,S
%TYC8945-1078,09 42 35.3,-62 28 35,12.02,M0V,33.1,,0.75
TYC9217-0641,09 42 47.4,-72 39 50,12.40,K1V,132,100,S
CD-39 5883,09 47 19.9,-40 03 10,10.89,K0V,100,95,S
HD  85151A,09 48 43.3,-44 54 08,9.61,G7V,69,95,S
HD  85151B,09 48 43.5,-44 54 09,10.21,G9V,69,100,S
CD-65 817,09 49 09.0,-65 40 21,10.33*,G5V,141,100,"S,m"
HD 309851,09 55 58.3,-67 21 22,9.90,G1V,103,100,"S,m"
HD 310316,10 49 56.1,-69 51 22,10.82*,G8V,128,100,S
CP-69 1432,10 53 51.5,-70 02 16,10.66,G2V,164,100,S
%HD 103742,11 56 42.3,-32 16 05,7.63,G3V,32,,S
%HD 103743,11 56 43.8,-32 16 03,7.83,G4V,32,,S
%CD-42 7422,12 06 32.9,-42 47 51,10.66,K0V,115,85,S
%AF Cru,12 19 07.1,-63 09 54,10.02*,K0V,211,0.90
CD-74 673,12 20 34.4,-75 39 29,10.72,K3Ve,50,90,"S,g"
%V347 Hya,13 34 57.4,-29 55 24,9.26*,G3V,83,75,S
CD-75 652,13 49 12.9,-75 49 48,9.67,G1V,81,95,"s,g"
HD 129496,14 46 21.4,-67 46 16,8.78,F7V,85,95,s
NY Aps,15 12 23.4,-75 15 15,9.42,G9V,50H,90,S
%CD-52 7875,16 59 55.2,-52 46 20,10.75,G9V,8.8,0.90
%HD 160257,17 39 55.6,-23 03 41,8.61,G2V,,12.3,1.00
CD-52 9381,20 07 23.8,-51 47 27,10.59,K6Ve,29,95,S
