Name,RA_2000,Dec_2000,V,SpType,D(pc),P(%),Ref
HD 203,00 06 50.1,-23 06 27,6.19,F3V,39H,75,Z
HIP 10679,02 17 24.7,+28 44 31,7.75,G2V,39,100,Z
HD 14062,02 17 25.2,+28 44 43,6.99,F5V,40,95,Z
HD 15115,02 26 16.2,+06 17 33,6.79,F4IV,45H,60,M
BD+30 397B,02 27 28.1,+30 58 41,12.44,M2Ve,43,90,Z
AG Tri,02 27 29.3,+30 58 25,10.12,K6Ve,43,100,Z
BD+05 378,02 41 25.9,+05 59 18,10.37,K6Ve,39,95,"Z,S"
HD 29391,04 37 36.1,-02 28 24,5.22,F0V,30H,100,Z
GJ 3305,04 37 37.5,-02 28 28,10.59,M1Ve,30H,100,Z
V1005 Ori,04 59 34.8,+01 47 01,10.05,M0Ve,24,100,S
CD-57 1054,05 00 47.1,-57 15 25,10.00,M0Ve,26H,100,"Z,S"
HIP 23418,05 01 58.8,+09 59 00,11.95*,M3Ve,34,100,Z
BD-21 1074BC,05 06 49.5,-21 35 04,11.61*,M3Ve,18,100,"S,B"
BD-21 1074A,05 06 49.9,-21 35 09,10.29,M1Ve,18,100,"S,B"
AF Lep,05 27 04.7,-11 54 03,6.56*,F7V,27H,100,Z
V1311 Ori,05 32 04.5,-03 05 29,11.52,M2Ve,36,95,"S,B"
Pic,05 47 17.1,-51 04 00,3.77,A3V,19H,100,Z
AO Men,06 18 28.2,-72 02 41,9.80,K4Ve,39H,95,"Z,S"
HD 139084B,15 38 56.8,-57 42 19,14.80,M5Ve,40H,95,"Z,S"
V343 Nor,15 38 57.6,-57 42 26,7.97,K0V,40H,90,"Z,S"
%hip 79881non-members? see text^1,16 18 17.9,-28 36 50,4.80,A0,23.2H,85
V824 Ara,17 17 25.5,-66 57 04,7.23*,G7IV,31H,100,"Z,S"
HD 155555C,17 17 31.3,-66 57 06,12.82,M3Ve,31H,100,"Z,S"
GSC8350-1924,17 29 20.7,-50 14 53,13.47*,M3Ve,76,95,B
CD-54 7336,17 29 55.1,-54 15 49,9.55,K1V,66,90,S
HD 161460,17 48 33.8,-53 06 43,9.61*,K0IV,74,90,S
HD 164249,18 03 03.4,-51 38 56,7.01,F6V,47H,100,Z
HD 164249B,18 03 04.1,-51 38 56,12.5,M2Ve,47H,100,T
HD 165189,18 06 49.9,-43 25 31,5.67*,A5V,44H,100,Z
V4046 Sgr,18 14 10.5,-32 47 33,10.94*,K6Ve,73,95,T
GSC7396-0759,18 14 22.1,-32 46 10,12.78,M1Ve,73,90,T
HD 168210,18 19 52.2,-29 16 33,8.89,G5V,75H,90,S
HD 172555,18 45 26.9,-64 52 15,4.78,A6IV,29H,100,Z
CD-64 1208,18 45 36.9,-64 51 48,9.54,K5Ve,29H,100,Z
TYC9073-0762,18 46 52.6,-62 10 36,12.08,M1Ve,54,100,S
CD-31 16041,18 50 44.5,-31 47 47,11.20,K7Ve,51,95,S
PZ Tel,18 53 05.9,-50 10 49,8.29,G9IV,50H,100,"Z,S"
TYC6872-1011,18 58 04.2,-29 53 05,11.78,M0Ve,79,95,S
CD-26 13904,19 11 44.6,-26 04 09,10.39*,K4V(e),80,95,S
Tel,19 22 51.2,-54 25 25,5.02,A0V,48H,100,Z
HD 181327,19 22 58.9,-54 32 17,7.03,F6V,51H,100,Z
HD 191089,20 09 05.2,-26 13 27,7.18,F5V,53H,100,M
AT MicB,20 41 51.1,-32 26 10,11.09*,M4Ve,9.5,100,"Z,S"
AT MicA,20 41 51.2,-32 26 07,10.99*,M4Ve,9.5,100,"Z,S"
AU Mic,20 45 09.5,-31 20 27,8.73,M1Ve,10H,100,"Z,S"
HD 199143,20 55 47.7,-17 06 51,7.35*,F7V,48H,75,Z
AZ Cap,20 56 02.7,-17 10 54,10.62*,K6Ve,47,95,"Z,S"
CP-72 2713,22 42 49.0,-71 42 21,10.60,K7Ve,36,100,S
WW PsA,22 44 58.0,-33 15 02,12.07,M4Ve,20,100,"Z,S"
TX PsA,22 45 00.0,-33 15 26,13.36,M5Ve,20,100,"Z,S"
BD-13 6424,23 32 30.9,-12 15 52,10.54,M0Ve,28,100,S
