Name,RA_2000,Dec_2000,V,SpType,D(pc),P(%),Ref
%HD 8813,01 23 25.9,-76 36  42,8.37,G6V,48H,60,S
HD 42270,05 53 29.3,-81 56 53,9.14,K0V,59,70,S
%HD 40216,05 55 43.1,-38 06 16,7.46,F7V,,18.50.6,80
%V1358 Ori,06 19 08.1,-03 26 20,7.91,F9V,50,60,z?
AB Pic,06 19 12.9,-58 03 16,9.13,K1V(e),45H,60,"z,S"
%CD-40 2458,06 26 06.9,-41 02 54,10.00,K0V,11.6,,100
%CD-48 2324,06 28 06.1,-48 26 53,11.08,G9V,7.8,,90
%D-37 2984,06 39 46.9,-37 50 10,10.72,K1V,16.3,,
HD 49855,06 43 46.2,-71 58 35,8.94,G6V,56H,90,"z,S"
%CD-41 2572,06 45 37.9,-41 12 41,10.82,K0V,12.4,,60
%CD-36 3202,06 52 46.8,-36 36 17,11.22,K2V(e),9.6,,100
%HD 51797,06 56 23.5,-46 46 55,9.84,K0V(e),14.3,,90
HD 55279,07 00 30.5,-79 41 46,10.11,K2V,64H,70,"z,S"
%CD-39 3026,07 01 51.8,-39 22 04,11.05,G9V(e),7.2,,
CD-57 1709,07 21 23.7,-57 20 37,10.72,K0V,100,70,S
CD-63 408,08 24 05.7,-63 34 03,9.87,G5V,104,100,"S,m"
CD-61 2010,08 42 00.4,-62 18 26,10.95,K0V,147,100,"S,m"
CD-53 1875,08 45 52.7,-53 27 28,10.29,G2V,145,90,"S,m"
CD-75 392,08 50 05.4,-75 54 38,10.59,G9V,101,80,S
CD-53 2515,08 51 56.3,-53 55 57,11.06*,G9V,141,100,S
TYC8582-3040,08 57 45.7,-54 08 37,11.71,K2IV(e),159,100,"S,m"
CD-49 4008,08 57 52.2,-49 41 51,10.51,G9V,111,100,"S,m"
CD-54 2499,08 59 28.8,-54 46 49,10.08,G5IV,106,100,"S,m"
CP-55 1885,09 00 03.3,-55 38 24,10.83,G5V,122,100,S
CD-55 2543,09 09 29.3,-55 38 27,10.20,G8V,133,100,S
CD-54 2644,09 13 16.9,-55 29 03,11.36,G5V,132,100,S
V479 Car,09 23 35.0,-61 11 36,10.86,K1V(e),85H,90,"S,m"
HD 83096,09 31 24.9,-73 44 49,7.49*,F2V,79H,90,s
HIP 46720B,09 31 25.2,-73 44 51,10.02*,G9V,79H,80,S
CP-52 2481,09 32 26.1,-52 37 40,10.86,G8V,139,100,S
CP-62 1293,09 43 08.8,-63 13 04,10.44,G6V,77,100,"S,m"
%HD 86021,09 54 11.0,-53 38 28,10.73*,G5V,,7.31.2,60
%HD 2989369,10 13 14.6,-52 30 54,9.79,K3Ve,19.3,,
CD-54 4320,11 45 51.8,-55 20 46,10.24,K5Ve,44,80,S
HD 107722,12 23 29.0,-77 40 51,8.30,F6,67,60,g
%CD-51 6700,12 27 56.4,-52 11 00,10.00,K0V,15.0,,
%T9486-0927,21 25 27.6,-81 38 28,11.85,M2Ve,26.4,,
