Name,RA_2000,Dec_2000,V,SpType,D(pc),P(%),Ref
EG Cha,08 36 56.2,-78 56 46,11.36*,K4Ve,99,100,"S,m"
Cha,08 41 19.5,-78 57 48,5.46,B8V,97H,90,m
RS Cha,08 43 12.2,-79 04 12,6.80*,A7+A8,98H,100,m
EQ Cha,08 47 56.9,-78 54 54,13.92*,M3e,122,100,"m,c"
HD 82879,09 28 21.1,-78 15 35,8.99,F6V,120,80,c
CP-68 1388,10 57 49.3,-69 14 00,10.39,K1V(e),112,70,S
DZ Cha,11 49 31.9,-78 51 01,12.9V,M0Ve,110,100,"L,g,c"
T Cha,11 57 13.5,-79 21 32,12.0V,K0Ve,109,100,"M,T,Z"
GSC9415-2676,11 58 26.9,-77 54 45,14.29,M3e,123,100,"L,T"
EE Cha,11 58 35.4,-77 49 31,6.73,A7V,105H,100,"M,Z"
Cha,11 59 37.6,-78 13 19,5.34*,B9V,111H,100,M
HIP 58490,11 59 42.3,-76 01 26,11.31,K4Ve,93H,90,"S,M,T,Z"
DX Cha,12 00 05.1,-78 11 35,6.73*,A8Ve,116H,100,"M,T"
HD 104237D,12 00 08.3,-78 11 40,14.28,M3Ve,116,100,F
HD 104237E,12 00 09.3,-78 11 42,12.08,K4Ve,116,100,F
HD 104467,12 01 39.1,-78 59 17,8.56,G3V(e),104,100,"S,T,Z"
GSC9420-0948,12 02 03.8,-78 53 01,12.48,M0e,120,100,c
GSC9416-1029,12 04 36.2,-77 31 35,13.81*,M2e,123,100,"Z,T"
HD 105923,12 11 38.1,-71 10 36,9.16,G8V,115,80,S
%TYC8986-0497,12 16 30.1,-67 11 48,11.56,1.44,K4IVe,7.9,
GSC9239-1495,12 19 43.5,-74 03 57,13.08,M0e,105,100,"Z,T"
GSC9239-1572,12 20 21.9,-74 07 39,12.85*,K7e,110,100,"Z,T"
CD-74 712,12 39 21.2,-75 02 39,10.30,K3e,103,90,"S,T,Z"
CD-69 1055,12 58 25.6,-70 28 49,9.95,K0Ve,101,80,S
MP Mus,13 22 07.6,-69 38 12,10.35,K1Ve,103,80,"S,g"
