Name,RA_2000,Dec_2000,V,SpType,D(pc),P(%),Ref
CD-52 381,01 52 14.6,-52 19 33,10.89*,K2V(e),92,80,S
BD-16 351,02 01 35.6,-16 10 01,10.33,K1V(e),78,95,S
CD-44 753,02 30 32.4,-43 42 23,10.42,K5V(e),52,70,S
BD-11 648,03 21 49.7,-10 52 18,11.32,K0Ve,127,75,S
V1221 Tau,03 28 15.0,+04 09 48,9.70*,K0,84,60,"S,zi"
HD 21955,03 31 20.8,-30 30 59,9.93*,G7IVe,122,70,S
HD 21997,03 31 53.6,-25 36 51,6.38,A3V,73H,80,M
BD-04 700,03 57 37.2,-04 16 16,10.61,G8V(e),103,85,S
BD-15 705,04 02 16.5,-15 21 30,10.17,K3(e),49,75,"z,S"
HD 26980,04 14 22.6,-38 19 02,9.08,G3V,83H,90,S
HD 27679,04 21 10.3,-24 32 21,9.43,G2V,75,95,S
CD-43 1395,04 21 48.7,-43 17 33,10.18,G7V,143,100,S
%CD-44 1533,04 22 45.6,-44 32 52,10.47,K0V,90,30,S
%CD-44 1568,04 27 20.5,-44 20 39,10.91,K1V(e),92,60,S
CD-36 1785,04 34 50.8,-35 47 21,10.84,K1Ve,77,85,S
HD 30447,04 46 49.5,-26 18 09,7.85,F3V,78H,60,M
GSC8077-1788,04 51 53.0,-46 47 31,13.03,M0Ve,80,85,S
HD 31242,04 51 53.6,-46 47 13,9.85,G5V,72,85,S
HD 272836,04 53 05.2,-48 44 39,10.78,K2V(e),76,80,S
TYC5900-1180,04 58 35.8,-15 37 31,11.15,G9V,152,90,S
BD-08 995,04 58 48.6,-08 43 40,10.32,K0V,83,85,S
HD 32372,05 00 51.9,-41 01 07,9.50,G5V,72H,95,S
AS Col,05 20 38.0,-39 45 18,7.34,F6V,46H,70,z
BD-08 1115,05 24 37.3,-08 42 02,9.88,G7V(e),118,80,S
HD 35841,05 26 36.6,-22 29 24,8.91,F3V,96,65,M
HD 274561,05 28 55.1,-45 34 58,11.45,K1V(e),78,75,S
HD 36329,05 29 24.1,-34 30 56,9.22*,G3V,75H,95,S
%HD 269620,05 29 27.2,-68 52 05,9.56,G6V,9.9,,
AG Lep,05 30 19.0,-19 16 32,9.62,G6V,111,95,S
%AT Col,05 37 05.3,-39 32 26,9.52,K1V(e),50,95,"z,S"
%HD 37484,05 37 39.6,-28 37 35,7.26,F4V,60H,55,M
%HD 2699217,05 38 34.4,-68 53 07,10.28,G7V,11.3,,
BD-08 1195,05 38 35.0,-08 56 40,9.84,G7V,83,80,S
HD 38207,05 43 21.0,-20 11 21,8.46,F2V,93,80,M
HD 38206,05 43 21.7,-18 33 27,5.73,A0V,69H,95,M
CD-38 2198,05 45 16.3,-38 36 49,10.95,G9V,90,85,s
CD-29 2531,05 50 21.4,-29 15 21,11.31,K0V(e),149,95,S
CD-52 1363,05 51 01.1,-52 38 13,10.61,G9IV,106,85,S
%HD 42270,05 53 29.3,-81 56 53,9.14,K0V,17.3,,
HD 40216,05 55 43.1,-38 06 16,7.46,F7V,54H,80,z
%V1358 Ori,06 19 08.1,-03 26 20,7.91,F9V,50H,45,z
%AB Pic,06 19 13.0,-58 03 16,9.13,K1V(e),,22.00.8,
CD-40 2458,06 26 06.9,-41 02 54,10.00,K0V,91,70,S
CD-48 2324,06 28 06.1,-48 26 53,11.08,G9V,135,60,S
TYC4810-0181,06 31 55.2,-07 04 59,11.80,K3Ve,96,70,S
%CD-37 2984,06 39 46.9,-37 50 10,10.72,K1V,16.3,,
%HD 295290,06 40 22.3,-03 31 59,9.00,K0V(e),65,55,S
HD 48370,06 43 01.0,-02 53 19,7.92,G8V,35,70,S
%CD 49885,06 43 46.3,-71 58 36,8.94,G6V,,17.70.9,
%CD-41 2572,06 45 37.9,-41 12 41,10.82,K0V,82,45,S
CD-36 3202,06 52 46.8,-36 36 17,11.22,K2V(e),135,100,S
HD 51797,06 56 23.5,-46 46 55,9.84,K0V(e),75,80,S
CD-39 3026,07 01 51.8,-39 22 04,11.05,G9V(e),189,75,S
HD 62237,07 42 26.6,-16 17 00,9.88*,G5V,104,85,S
