Name,OtherName,RA_2000,Dec_2000,V,SpType,Ref
RECX 18,,08 36 10.6,-79 08 18,17.66,M5e,So
RECX 17,,08 38 51.5,-79 16 14,16.82,M5e,So
RECX 14,ES Cha,08 41  30.6,-78 53 07,17.07,M5e,L
RECX 3,EH Cha,08 41 37.2,-79 03 31,14.37,M3e,M
RECX 13,HD 75505,08 41 44.7,-79  02 53,7.27,A1V,M
RECX 4,EI Cha,08 42 23.7,-79 04 04,12.73,M1e,M
RECX 5,EK Cha,08 42 27.3,-78 57 48,15.20,M4e,M
RECX 6,EL Cha,08 42 39.0,-78 54 44,14.08,M3e,M
RECX 7,EM Cha,08 43 07.7,-79 04 52,10.89*,K6e,M
RECX 15,ET Cha,08 43 18.4,-79 05 21,13.97,M3e,L
RECX 16,,08 44 09.1,-78 33 46,17.5,M5e,So
RECX 9,EN Cha,08 44 16.6,-78 59 09,15.75*,M4e,M
RECX 10,EO Cha,08 44 32.2,-78 46 32,12.53,M0e,M
RECX 11,EP Cha,08 47 01.8,-78 59 35,11.13,K6e,M
