Name,RA_2000,Dec_2000,V,SpType,D(pc),P(%),Ref
PMM 7422,08 28 45.6,-52 05 27,10.49,G6,120,100,"p,m"
PMM 7956,08 29 51.9,-51 40 40,11.62,Ke,141,100,p
PMM 1560,08 29 52.4,-53 22 00,10.66,G3,135,95,p
PMM 6974,08 34 18.1,-52 15 58,12.26,,147,100,p
PMM 4280,08 34 20.5,-52 50 05,10.34,G5,145,95,p
PMM 6978,08 35 01.2,-52 14 01,12.07,,128,100,p
PMM 2456,08 35 43.7,-53 21 20,12.20,K3e,135,100,p
PMM 351,08 36 24.2,-54 01 06,10.18,G0,128,100,p
PMM 3359,08 36 55.0,-53 08 34,11.51,,137,100,p
PMM 5376,08 37 02.3,-52 46 59,14.30,Me,132,100,p
PMM 4324,08 37 47.0,-52 52 12,9.66,F5V,137,100,p
PMM 665,08 37 51.6,-53 45 46,11.35,G8,139,100,p
PMM 4336,08 37 55.6,-52 57 11,11.58,G9,139,100,p
PMM 4362,08 38 22.9,-52 56 48,10.97,,147,100,p
PMM 4413,08 38 55.7,-52 57 52,11.06*,G2,141,100,p
PMM 686,08 39 22.6,-53 55 06,12.63,Ke,137,100,p
PMM 4467,08 39 53.0,-52 57 57,11.86V,K0(e),137,100,p
PMM 1083,08 40 06.2,-53 38 07,10.45V,G0,139,100,"p,m"
PMM 8415,08 40 16.3,-52 56 29,11.84,G9(e),141,100,p
PMM 1759,08 40 18.3,-53 30 29,13.54,K3e,135,100,p
PMM 1142,08 40 49.1,-53 37 45,11.08,G6,147,100,p
PMM 1174,08 41 22.7,-53 38 09,9.54,F3V,139,100,p
PMM 1820,08 41 25.9,-53 22 41,12.56V,K3e,154,90,p
PMM 4636,08 41 57.8,-52 52 14,13.57,K7e,135,100,p
PMM 3695,08 42 18.6,-53 01 57,13.96,M2e,137,100,p
PMM 756,08 43 00.4,-53 54 08,11.16,G9,149,100,p
PMM 5811,08 43 17.9,-52 36 11,9.16,F2V,145,100,p
PMM 2888,08 43 52.3,-53 14 00,9.76,F5,135,100,p
PMM 2012,08 43 59.0,-53 33 44,11.67,K0(e),135,100,p
PMM 4809,08 44 05.2,-52 53 17,10.85V,G3(e),154,100,p
PMM 1373,08 44 10.2,-53 43 34,12.25,,141,100,p
PMM 5884,08 44 26.2,-52 42 32,11.46V,G9(e),139,100,p
PMM 4902,08 45 26.9,-52 52 02,12.76V,K3e,133,100,p
PMM 6811,08 45 39.1,-52 26 00,9.91V,F8Ve,135,100,"p,m"
PMM 2182,08 45 48.0,-53 25 51,10.22,G2(e),152,100,p
