Name,RA_2000,Dec_2000,V,SpType,D(pc),P(%),Ref
CD-58 860,04 11 55.6,-58 01 47,10.01,G6V,82,90,S
CD-43 1451,04 30 27.3,-42 48 47,10.75,G9V(e),120,80,S
CD-72 248,05 06 50.6,-72 21 12,10.91,K0IV,143,100,S
HD 274576,05 28 51.4,-46 28 18,10.57,G6V,116,100,S
CD-47 1999,05 43 32.1,-47 41 11,10.19,G0V,167,100,S
TYC7066-1037,05 58 11.8,-35 00 49,11.24,G9V,149,100,S
CD-66 395,06 25 12.4,-66 29 10,10.92,K0IV,147,100,S
CD-30 3394A,06 40 04.9,-30 33 03,9.84,F6V,141,70,s
CD-30 3394B,06 40 05.7,-30 33 09,10.24,F9V,161,80,S
%GSC9415-1685,11 50 28.9,-77 04 38,11.98,K2e,83,100,"c,z"
HD 155177,17 42 09.0,-86 08 05,8.88,F5V,159,100,s
TYC9300-0529,18 49 45.1,-71 56 58,11.59,K0V,196,100,S
TYC9300-0891,18 49 48.7,-71 57 10,11.43*,K0V(e),175,100,S
CP-79 1037,19 47 03.9,-78 57 43,11.16,G8V,164,100,S
CP-82 784,19 53 56.7,-82 40 42,10.87,K1V,152,100,S
CD-87 121,23 58 17.7,-86 26 24,9.98,G8V,122,100,S
