Name,RA_2000,Dec_2000,V,SpType,D(pc),P(%),Ref
%TWA 21,10 13 14.6,-52 30 54,9.79,K3Ve,19.2,,70
TWA 7,10 42 30.1,-33 40 16,11.65,M2Ve,28,100,"W,S"
TWA 1,11 01 51.9,-34 42 17,11.07,K6Ve,53,100,"G,S"
TWA 2,11 09 13.8,-30 01 40,11.43*,M2Ve,41,90,"G,S"
TWA 3B,11 10 27.8,-37 31 53,13.07*,M4Ve,37,90,G
TWA 3A,11 10 27.9,-37 31 52,12.57*,M4Ve,37,90,G
TWA 13A,11 21 17.2,-34 46 46,11.46*,M1Ve,55,100,St
TWA 13B,11 21 17.4,-34 46 50,11.96*,M1Ve,55,100,St
TWA 4,11 22 05.3,-24 46 40,9.42*,K5V,44,100,"G,S"
TWA 5A,11 31 55.3,-34 36 27,12.12*,M2Ve,45,90,"G,S"
TWA 5B,11 31 55.4,-34 36 29,20.40,M8Ve,45,90,W
TWA 8A,11 32 41.2,-26 51 56,12.23,M3Ve,39,100,W
TWA 8B,11 32 41.2,-26 52 09,15.3,M5Ve,40,100,W
TWA 26,11 39 51.1,-31 59 21,20.5,M8Ve,41,100,Gi
TWA 9B,11 48 23.7,-37 28 48,14.00,M1Ve,68,90,"W,S"
TWA 9A,11 48 24.2,-37 28 49,11.26,K5Ve,68,100,"W,S"
TWA 27,12 07 33.4,-39 32 54,20.2,M8Ve,53,100,Gi
TWA 25,12 15 30.7,-29 48 43,11.44,M1Ve,51,100,"So,S"
TWA 20,12 31 38.1,-45 58 59,13.3,M3Ve,73,100,R
TWA 16,12 34 56.4,-45 38 07,12.8*,M1Ve,70,100,Zb
TWA 10,12 35 04.2,-41 36 39,12.96,M2Ve,52,100,W
TWA 11B,12 36 00.6,-39 52 16,12.80,M2Ve,67H,90,"Zb,S"
TWA 11A,12 36 01.1,-39 52 10,5.78,A0V,67H,100,Zb
